Francesca,Construction ID,Name,Form,Function,Formal Tags,Functional Tags,Schematicity Level,Examples 1,Source,Examples 2,Source,Examples 3,Source,Examples 4,Source,Examples 5,Source,Idiomaticity Level Function,Explain,Idiomaticity Level Form,Explain,Idiomaticity Level Restrictions,Explain,Idiomaticity Level Collocational Preferences,Explain,Idiomaticity Level Usage Familiarity,Explain,Data Collector,Notes
,123,"Costruzioni verbo + ""ore"" + aggettivo","V+ DET + ""ore"" + ADJ","Qualificazione del sostantivo ""ore"" attraverso l'uso di un verbo aggiunto all'applicazione di un ADJ esterno.",,,partially filled/schematic,"prima il governo Berlusconi che è durato appena nove mesi , poi un governo tecnico di un anno e adesso una maggioranza traballante che sembra avere le ore contate. Le sembra un buon risultato ? ",CORIS1980_2000,"Ma ora aveva addosso la polizia , così come l ' Fbi e i cartelli rivali . Fondato negli anni settanta da un personaggio dal nome altisonante , Juan Nepomuceno Guerra , che nel periodo del Proibizionismo contrabbandava alcolici negli Stati Uniti , il cartello sembrava avere le ore contate.",MONITOR2011_13,"A prima vista la guerra non sembra aver nemmeno sfiorato questo sito , che continua a presentare come sempre gli eventi culturali della capitale e a svolgere il suo ruolo di guida turistica , tra orchestrine jazz e caffè dove fare le ore piccole.",CORIS1980_2000 MISC,"Per fare le ore piccole, c 'è Jonnhos on the beach , a Sandy ground , la discoteca più scatenata , dove si ballano salsa e merengue in compagnia di rasta",CORIS1980_2000,,,,,,,,,,,,,Chiara Mancuso,
,124,"Costruzioni Avere+X+""in tasca""",V+Det+X+SPrep,"Possesso di ""X"" tramite SPrep.",,,partially filled/schematic,"dove l ' eco dei suoi passi , sostenuto dalle pareti della Galleria , cambia d ' improvviso e si fa apparentemente più sicuro , facendogli quasi credere di ",CORIS 1980-2000,"Consisteva nel fingere , di_fronte_all ' avversario , di non avere munizioni , di essere in balìa di lui e della clemenza della corte , di_modo_che l ' altro , avvertendo di , fosse portato a esaurire di botto i propri argomenti ",MONITOR 2005-07,Ciò significa non dare credito a chi dice di ,MONITOR2014_16,,,,,,,,,,,,,,,Benedetta Massani,
,125,Attenuazione dell'affermazione,quasi quasi + V,Attenuazione / Probabilità tendente al positivo / Affermazione attenuata / Reduplicazione,"reduplication, verbi",attenuazione,lexically filled,quasi quasi vengo a pranzo con voi.,CORIS,quasi quasi faccio il tifo per lui.,CORIS,quasi quasi rimpiango un volo di elicottero.,CORIS,Allora quasi quasi darei un'occhiata.,CORIS,Se procede bene io quasi quasi accetterei.,itTenTen20,,,,,,,,,,,Lea Quadrini,
,126,Pronome relativo preposto ,"Pron. rel. X  Y
x;y = v / adv. + v","Chi X (allora) Y; X implica Y; Y risultato, conseguenza di X",subordinazione,"risultato, implicazione",partially filled/schematic,"L'organo a canna non comunicò altro, ma chi tace acconsente, così il professore, col viso accaldato continuò il movimento .","Corpus: Coris 
Timeslice: CORIS 1980_2000  Subcorpus: NARRAT","chi rompe paga diremmo noi , chi inquina paga dicono i tedeschi .","Corpus: Coris
Timeslice: CORIS 1980_2000  Subcorpus: PRACC",Doveva rischiarla? Chi non risica non rosica.,"Corpus: Coris
Timeslice: MONITOR2005_07  Subcorpus: NARRAT",Ma... - Chi tardi arriva male alloggia! - sentenziò la maestra .,"Corpus: Coris
Timeslice: CORIS 1980_2000  Subcorpus: NARRAT","Ma..., come si dice: chi troppo vuole nulla stringe.","Corpus: Coris
Timeslice: CORIS 1980_2000  Subcorpus: STAMPA",,,,,,,,,,,Vincenzo Criscione,"Caso limite quello rappresentato dall'esempio chi tace acconsente. Se negli altri casi, infatti, il verbo della prop. reggente rappresenta un'azione cronologicamente successiva a quella veicolata dal verbo della relativa, nell'esempio sopracitato i due verbi sembrano definire azioni quantomeno contemporanee. Nonostante ciò la frase sembra coerente con la possibile costruzione proposta."
,127,Pippo construction,"Che + Adj./Name + Che + Verb
 ","From my point of view the Pippo Construction has a communicative function. One could use it in order to highlight a certain meaning within a sentence. Usually the meaning enanced owns a semantic of ""quality"" that is shown through an adjective or a particular connotation of a name. ",reduplication,intensification,fully schematic,"""Che bei capelli che hai""",,"""Che vita che facciamo""",,"""Che buono che è""",,"""Che disastro che ho combinato""",,"""Che piene che sono queste borse""",,,,,,,,,,,,Angelica Vittorino,Probably none of the things written makes sense. Thank you for the opportunity though. 
,128,'non importa' construction,non + PronPers (DAT) + ne + 'fare' (3pers sing) + niente,Semantica,complex predicates,mitigation,partially filled/schematic,"Alla fine, non me ne fa niente di pulire il bagno.",Esempio inventato,,,,,,,,,,,,,,,,,,,Chiara Di Deco,
,129,doppia negazione,non è che non + V,Attenuare. Sottoindende da parte di chi parla una presa di distanza da ciò che la prima negazione nega.,,,partially filled/schematic,"Precisiamo , però ; non è che non provassi sconcerto , ero anzi in_preda_all ' angoscia e del mio diaframma l ' orrore aveva fatto un anello di acciaio che serrava fino_a togliermi il respiro .","CORIS
Time Slice:	CORIS1980_2000
SubCorpus :	NARRAT","Ma c ' era un altro ( forse Chesterton ? ) che aveva detto : da quando gli uomini non credono più in Dio , non è che non credano più a nulla , credono a tutto .","CORIS
Time Slice:	CORIS1980_2000
SubCorpus :	NARRAT","Mi spiego : non è che non vorrei farlo sapere per i giudizi politici , perché ho alle spalle una lunga interlocuzione con il mondo cattolico .","CORIS
Time Slice:	CORIS1980_2000
SubCorpus :	STAMPA","Sai , se a un uomo gli fai vedere un ponte , anche se poi lo togli di mezzo non è che non attraversa più il fiume .","Time Slice:	MONITOR2005_07
SubCorpus :	MISC
","Vedi, non è che non voglio , ma questo non si può davvero fare.","CORIS
Time Slice:	MONITOR2001_04
SubCorpus :	NARRAT",,,,,,,,,,,Greta Gorzoni,
,130,Differenza di anni ,portarsi + ADJ + N,"Esprimere la differenza anagrafica tra persone.
Si tratta di un regionalismo colloquiale ",verbi,time,lexically filled,Io e lui ci portiamo tre anni. ,Discorso orale informale,,,,,,,,,,,,,,,,,,,Simona Contaldi ,
,131,"Costruzioni ""in croce""",Num+N+in croce,Sottolineare la quantità ridotta di N.,,,partially filled/schematic,"Molto, molto sangue! Che dire poi dei personaggi... Mario che non ha ancora imparato due parole in croce di inglese, che ormai serve per forza sennò non ti assumono da nessuna parte.",Corpus: itTenTen20,d'estate DI NON FARE L'ESCURSIONE COSTA SUL DELTA DEL DANUBIO....è stato un incubo...abbiamo visto tre volatili in croce ...e per tre ore lo stesso panorama....con un caldo pazzesco anche nella parte del battello dove si pranza,Corpus: itTenTen20,"Purmamarca, ai piedi del Cerro de los siete colores. Purmamarca è un piccolo minuscolo paesino, davvero "" quattro case in croce "", ma è bellissimo, con la solita piazzetta centrale daventi a una chiesetta bianca, piena di bambini che giocano",Corpus: itTenTen20,"Ma e governato da un branco di inconpetenti. E va beh, però non si può paragonare...loro hanno 5-6 trasmettitori in croce , nessuna sfn da sincronizzare, tutto il resto è pay, via sat o via cavo....",Corpus: itTenTen20,"Domenica 13 Novembre 2016, 19.48.07 Non lo so, è che mi sono stufato di parlare sempre e solo dei solito 15 album in croce che hanno fatto la storia del metal anni 80, siamo nel 2016 cavolo, parliamo di album fondamentali per questa epoca",Corpus: itTenTen20,,,,,,,,,,,Elisa Puhar,
,132,In lungo e in largo,"preposizione1, aggettivo1, congiunzione, preposizione1, aggettivo2.
 ",Intensificare un'azione ,pseudocoordination,"intensification, modalità dell'azione",partially filled/schematic,"1. In pochi anni percorse in lungo e in largo l'Egitto, risalendo il fiume Nilo fino ad Assuan, scoprendo sotto la sabbia il tempio di Abu Simbel. 
 
 ","https://www.corpusitaliano.it/
","2. In vista delle importanti elezioni del 1932, Hitler e il suo entourage girano la Germania in  lungo e in largo.
 
 ",https://www.corpusitaliano.it/,"3. Ho visitato la Spagna in lungo e in largo
 ",Myself,"4. L'ho cercato in lungo e in largo per tutto il giorno
 ",Myself,5. Hanno girato in lungo e in largo in macchina senza trovare il posto giusto.,Myself,,,,,,,,,,,Giada Viscido,
,133,"Costruzione ""che""",che+N/Adj,Intensificazione o attribuzione di qualità (solitamente positive o dimensionali) a N/Adj,,,partially filled/schematic,"in lontananza vedo un gruppo di persone che va in direzione dei convogli. Le porte si aprono velocemente, che fortuna ! Il presidente del consiglio d'Europa rientra a casa per il fine settimana, si parte in perfetto orario.",corpus: itTenTen20,"Comunque sto scrivendo davanti al pc bagnato fradicio d'acqua , che bello ! Voi direte ""Come che bello ??!"" , e io vi rispondo che non c'è cosa più bella.",corpus: itTenTen20,"che tajo! che figata, ragazzi! se avessi la play 2 me lo comprerei anche a 200 euro! ma che forza! avete visto i neri del ghetto con la macchina con le sospensioni truccate?",corpus: itTenTen20,"non è piu la mamma che avevo prima...l'ha venduta xke aveva bisogno di soldi... ma quella casa io l'amavo tantissimo.. che tristezza ...non voglio vedere chi ci abita li,mi sembrerebbe che fossero ancora a CASA MIA....purtroppo mia non la è piu.. eh no.",corpus: itTenTen20,la Forza scorre potente da queste parti e ha comprato casa sulle colline di Passignano sul Trasimeno. E che casa! Si tratta di un ex convento a due passi dal Lago Trasimeno e lo ha ristrutturato in grande stile.,corpus: itTenTen20,,,,,,,,,,,Elisa Puhar,
,134,espressioni per esprimere quantità ,"Det+ N + Prep + Agg/ N 
Un botto (di) + Agg/ N",Utilizzato in luogo di un avverbio per indicare quantità o qualità,adverb,plurality,partially filled/schematic,è un botto di tempo che non ci vediamo ,conversazioni tra persone ,ci sta un botto di persone ,"conversazioni tra persone 
",questo film è un botto bello ,conversazioni tra persone ,,,,,,,,,,,,,,,Federica Giovanna Marchiselli ,
,135,"Costruzione ""che...che""",Che+N/Adj+che+V,intensificazione di N/Adj,,,partially filled/schematic,La Guest House dov'ero era piena di Giapponesi..simpatici ma che timidoni che sono in generale..hi.hi.hi...haligato'!,corpus: itTenTen20,passiamo il tempo a chiederci perché si vive lo dice senza voce quel musino che sorride. Guarda che sole che splende sopra di noi Nicole meraviglioso non trovi? tu prendi sonno e intanto io ritorno bimbo,corpus: itTenTen20,"Senti il profumo di rosa e tiglio, il suo bisbiglio ma perché ti voglio io ancora non lo so. Emily, Emily Emily, ma che curiosità che ho , Emily. Una grande carrellata di profili femminili e una prova di grande capacità narrativa.",corpus: itTenTen20,s'irradiano gentilmente nel silenzio della stanza colorando d'improvviso mura stinte e desolate; ah che pace che provo nel meditare la rinomata nonché saggia brevitas d'una giovane donna che carezza i silenzi,corpus: itTenTen20,"Poi c'è Lui, il vicino affascinante ed enigmatico che la maltratta quando la incontra ma la raccatta quando è a pezzi... che peccato che sia gay. E c'è anche Lui, il suo allievo piccolo piccolo che le chiede coraggio e un supereroe in prestito.",corpus: itTenTen20,,,,,,,,,,,Elisa Puhar,
,136,Alzare  figurato ,Alzare + det + N (parte del corpo), funzione metaforica del verbo alzare collegata ad una parte del corpo  per indicare un movimento  più o meno figurato riscontrabile con uno stato d'animo ,,,partially filled/schematic,alzare gli occhi (al cielo),,alzare il gomito ,,alzare le mani (contro qualcuno),,"alzare la voce 
 ",,,,,,,,,,,,,,Alessandra Simonetti,esempi come alzare la voce e alzare gli occhi  potrebbero non  rientrare  pienamente nella definizione che si è cercato di proporre
,137,Venire alle mani,verbo di moto (usato in senso figurato) + preposizione articolata + sostantivo,espressione informale,,,partially filled/schematic,Una ticinese e un controllore Ffs sono venuti alle mani,https://www.tio.ch/svizzera/cronaca/1701915/una-ticinese-e-un-controllore-ffs-sono-venuti-alle-mani,Siamo quasi venuti alle mani. Voleva dimostrare di non essere stupido,https://www.ilgazzettino.it/esteri/harry_spare_ghostwriter_cosa_ha_detto-7393977.html,"Nella MotoGP del politicamente corretto e del volemose bene, due piloti sono venuti alle mani",https://www.oasport.it/2023/05/motogp-bagnaia-e-vinales-sono-venuti-alle-mani-cosa-e-successo-a-le-mans/,"Due studenti, di cui uno minorenne, sono venuti alle mani a seguito di una serie di insulti",https://www.orizzontescuola.it/insegnante-tenta-di-sedare-rissa-tra-studenti-ma-prende-un-pugno-in-faccia-rischia-di-perdere-un-occhio/ ,Si è messo in mezzo Riccardo e lui e Armando sono arrivati alle mani,https://www.ilgazzettino.it/cultura/rissa_uomini_e_donne_armando_incarnato_riccardo_guarnieri-7362989.html,,,,,,,,,,,Francesca Sarti,
,138,ac,V+Art+N+Det.,expressive; metaphorical,,,partially filled/schematic,Spero di non aver fatto la figura del vanitoso presentandomi così,,"Io l’ho trovato meraviglioso, come fare la figura del cretino senza che nessuno ti abbia chiesto nulla",,"Questa vuole fargli fare la figura del pollo come Heidi, lo illude per poi farlo ingelosire con altri, peccato che e’ storia già vista",,,,,,,,,,,,,,,,,
,139,Construction 'vuoi' X 'vuoi' Y,vuoi X  vuoi Y,Funzione discorsiva al fine di fornire più opzioni per spiegare una causa. ,,,partially filled/schematic,"l ' aspirazione - vuoi per tradizione , vuoi per leggibilità , vuoi per l ' affetto verso il profumo di carta , inchiostro e legatura - sembra proprio essere sempre quella , andare in libreria . ",CORIS,"Di fronte a una stima di questo genere non mancheranno voci dissonanti , pronte a gridare all ' inattendibilità di una proporzione esagerata vuoi per difetto vuoi per eccesso .",CORIS," E vuoi il caldo , vuoi il fatto che la guerra è andata come è andata , io proprio non me la sono sentita di farmi mettere sotto da una foto ",CORIS,"potevamo anche finire come nel primo anno nel Sud - Ovest , decisamente più agevole ma evidentemente vuoi per sfortuna , vuoi per chissà che altro da due anni ci dovevamo guadagnare la finale con squadre che magari venivano dalla zona ai limiti della Brianza ",CORIS,"nel senso che la poesia narra fatti possibili , vuoi verosimili , vuoi necessari , ma sempre generali ",CORIS,,,,,,,,,,,Erica Solinas,
,140,Piace/piacciono,Pronome personale complemento + piace/piacciono + qualcosa/ qualcuno o verbo all'infinito ,"Esprimere il concetto di preferenza di qualcosa/qualcuno o di fare o non fare qualcosa.
Può essere usata alla forma affermativa, negativa e interrogativa.",grammatical idiom,,fully schematic,Mi piace ballare,None,A Marco piace la frutta ,None,Le piacciono le albicocche ,None,Non le piace discutere ,None,Ti piace Bologna?,None,,,,,,,,,,,,
,141,Ancora ora Construction,Ancora + ora + V (di sorpresa) ,"""Ancora"" come equivalente di ""soltanto"". ",formal idiom,risultato,partially filled/schematic,Ancora ora noto che i tuoi occhi sono color nocciola.,,Ancora ora scopro che la lezione comincerà alle 13 e non alle 14.,,Ancora ora mi accorgo che Filippo non è venuto all'aperitivo.,,Ancora ora vedo che non hai sparecchiato la tavola.,,Ancora ora scopro che il secondo nome di Giacomo è Matteo. ,,,,,,,,,,,,Fabiana Capozzi ,"Tutti gli esempi hanno come fonte l'esperienza. Di evidenze nei copora non ce ne sono, ma il risultato era atteso date le caratteristiche della costruzione. L'idea della costruzione nasce dalla frequentazione di persone provenienti dalla Puglia. La costruzione risultava assolutamente grammaticale alle loro orecchie, mentre alle mie e a chi non proveniva dallo stesso posto no.  "
,142,"Verbo+che+""aria tira""","Verbo+che+""aria tira""
 ",to express understanding of a situation,,,lexically filled,"Ieri, in occasione dei già documentati provini della seconda edizione di X Factor, abbiamo chiacchierato con Francesco Facchinetti per capire che aria tira nei nuovi casting e in questo suo periodo professionale fortunato e ricco di impegni.",www.corpusitaliano.it,"""Come crede che si sentano ? In Albania , e tutti sanno che aria tira lì, ci sono ragazzi che appartengono a corpi di cui si chiede lo scioglimento. Me lo dica: come crede che si sentano?"" L'ammiraglio Guido Venturoni, capo di stato maggiore della Difesa",corpora.ficlit.unibo.it/CODIS/,"Anton Antonovic, non era mia intenzione ... ""Ma che succede"", continuò tra sé e sé il nostro eroe, rimasto solo, ""ma che aria tira da queste parti e che cosa significa questa nuova piega della faccenda?""",corpora.ficlit.unibo.it/CODIS,,,,,,,,,,,,,,,Julia,
,143,ADJ-per-ADJ reduplicazione discontinua,ADJi per ADJi,Sottolinea il fatto che una situazione non sia più modificabile,reduplication,,partially filled/schematic,"Per le crocette..... beh, io sono più indulgente: c'è gente che affila col flex e il lamellare... a sto punto, persa per persa .... Un saluto, e ancora Complimenti, buaon affilatura a tutti!!! ",ItTenTen20,e poi se è sotto terra di un solo metro perchè non provare a trattenere il respiro e mentre la cassa si sta rompendo non provare ad uscire? tanto morto per morto ... e poi sul finale appare ovvio che non lo stiano trovando..,ItTenTen20,Sta volta pero' resto pessimisita vista la performance degli ultimi 3 mesi .  Mi chiedevo se pazzo per pazzo mi convenisse rischiare qualcosa con ETF short cosi almeno se il prezzo continua a scendere recupero in parte qualcosa.,ItTenTen20,"Alle volte era veramente troppo triste.  Un giorno decise che triste per triste , conveniva rinunciare alla sua foglia sicura e alla pappa preparata dalla mamma. ",ItTenTen20,"Fissata la data dell'intervento( dopo circa 2 mesi) ho continuato a giocare, tanto rotto per rotto ....quando mi hanno operato la lesione era completa.",ItTenTen20,,,,,,,,,,,Irene Vivani,
,144,Avere a che fare con X,Avere a che Fare/Vedere con X,Relationship ,,,partially filled/schematic,Non voglio avere niente a che fare con lui,,Questo argomento non ha niente a che fare/vedere con lo scorso ,,,,,,,,,,,,,,,,,,,
,145,NN subordinative compounds capo-X,[[capo] [x]Nβi]Nγj,[HEAD of X],"compounding, morphology","agent nouns, occupational nouns",partially filled/schematic,"Alessia era la capoclasse (head+class) e , come tale , aveva cercato di esercitare la sua autorità.
'Alessia was the class leader and, as such, had tried to use her authority'.",CORIS 2021,"Voi tutti al massimo potreste fare i capiclasse (heads+class) in una prima elementare con la didattica a distanza.
'All of you could at best be class leader in a first grade class with distance learning'.",CORIS 2021,"Un impiegato potrebbe denunciare domani il capufficio (head+office) perché , non promovendolo , gli ha fatto venire l' ulcera.
'An employee could sue his office manager tomorrow because, by not promoting him, he gave him an ulcer'. ",laRepubblica corpus,,,,,,,,,,,,,,,Silvia Micheli,Plural is generally formed with internal inflection (see example 2).
,146,Exocentric compounds,"[[x]Xαk [y]Yβi]Xγj
 ",[SEMk in R with SEMi]j,"compounding, morphology","exocentricity, exocentric compounds",fully schematic,"Quel pettirosso (breast+red) era come un segno del destino.
'That robin was like a sign of destiny'.",CORIS 2021,"A ridosso della parete ci sono la cucina a gas , lo scaldabagno (to heat+bathroom), la lavastoviglie (to wash+crockery).
'Close to the wall there are the gas cooker, the water heater, the dishwasher'.",CORIS 2021,"Dopo lo scontro armato all ' angolo fra viale Piave e via Alghisi , il fuggifuggi (to run away+to run away) generale.
'After the armed clash at the corner of Viale Piave and Via Alghisi, the general stampede'.",CORIS 2021,,,,,,,,,,,,,,,Silvia Micheli,
,147,VN compounds,[[x]Vαk [y]Nβi]A|Nγj,"[PERSON OR INSTRUMENT THAT PERFORMS A CERTAIN FUNCTION]
[EVENT]","compounding, morphology, VN compounds","agent nouns, exocentric compounds, instrument nouns, event nouns",partially filled/schematic,"Ci sono lavavetri (to wash+window) che sono saliti sulle auto di anziani perché volevano più soldi.
'There are window washer who climbed into the cars of elderly people because they wanted more money'.",CORIS 2021,"Alla fine il decreto salva-Rete4 (to save+Rete4, Italian TV channel) arriva , senza una sola parola sul problema delle concentrazioni televisive.
'In the end the decree saving Network4 arrives, without a single word on the issue of television mergers.'",CORIS 2021,,,,,,,,,,,,,,,,,Silvia Micheli,This is the most productive type of compounds in Italian and other Romance languages (excluding Romanian).
,148,VV compounds,[[x]Vαk [y]Vβi]Nγj,"[ACTION]
[ACTION PERFORMED BY SEVERAL PEOPLE]","reduplication, compounding, morphology",event nouns,partially filled/schematic,"Il fitto saliscendi (to rise+to fall) di stradine lastricate dalle quali si aprono improvvisi scorci sul mare.
'The dense ups and downs of cobbled streets from which sudden glimpses of the sea open up'.",CORIS 2021,"in Curva sono entrati i poliziotti , a decine , provocando risse e fuggi-fuggi (to run away+ to run away).
'Policemen entered the Curva, dozens of them, causing brawls and stampedes'.",laRepubblica corpus ,,,,,,,,,,,,,,,,,Silvia Micheli,
,149,Cognate Object Construction Proper,N + V + Ncognate,"è costituita da un Agente (il soggetto), un predicato verbale intransitivo (tipicamente inergativo), che viene usato transitivamente con un oggetto diretto che è ""cognato"" alla radice del verbo",argument structure construction,cognate object,partially filled/schematic,Fredrik viveva vita normale e si era recato come sempre al turno,ItWac,Certo che Capello non dorme sonni tranquilli ,ItWac,Per correre una buona 10 km non è necessario usare dei mezzi di allenamento stratosferici.,Google,"La città dormirà sonni agitati, questa notte",ItWac,i personaggi vivono vita autonoma e spesso cercano invano l' autore,ItWac,,,,,,,,,,,Lucia Busso,
,150,Caused Motion Construction,N + V + N + LocP,l'Agente provoca direttamente lo spostamento del Tema da una posizione A a una posizione B lungo un percorso specificato dal sintagma locativo,argument structure construction,"Causative construction         (the subject causes an action to be performed), caused motion",fully schematic,Sua madre portò Gesù nel grembo: noi portiamolo nel cuore,ItWac,Cosa non fare:mettere spoiler nei titoli delle discussioni,ItWac,è possibile garantire il proprio appoggio versando offerte sul conto corrente unico,ItWac,"Kublai richiamò Hulagu in Oriente, e l' Egitto fu salvo",ItWac, i manifesti raccomandano di non buttare rifiuti nei wc ,ItWac,,,,,,,,,,,Lucia Busso,
,151,Caused Motion + via Construction,N + V (via) + N (via),"La costruzione profila un tipo di evento di moto causato ed è caratterizzata dalla presenza della particella via, che può collocarsi subito dopo il verbo o dopo l'oggetto diretto. La particella favorisce il senso locativo, sia letterale che metaforico",particle verb construction,"Causative construction         (the subject causes an action to be performed), caused motion",partially filled/schematic,le due donne portarono via Bennegret su una portantina,ItWac,non buttiamo via mesi di lotta,ItWac,Da decenni mettevo via materiale per un libro sulla città,ItWac,Van manda Hitomi via in un' aeronave,ItWac,,,,,,,,,,,,,Lucia Busso,
,152,Dative Construction,N + V + Nobj + PPrecipient (+ PPprovenance),La costruzione profila un evento di trasferimento (letterale o metaforico) da un Agente ad un Ricevente. Talvolta è esplicitata anche la provenienza del Tema trasferito.,argument structure construction,"dative, transfer",fully schematic,I Paesi Bassi non spediscono pelli di animali (...) provenienti dalle parti del proprio territorio elencate nell' allegato I. 2. ,ItWac,Bobo (...) mandò messaggi affettuosi ai giocatori del Milan,ItWac,"Il che vuoi dire (...) consegnare all ' aggressione del cemento gli agrumeti di Sorrento,",ItWac,Bin Laden lancia minacce precise all' Occidente,ItWac,Esistono persone che non danno importanza ai nomi delle cime e alle loro altezze,ItWac,,,,,,,,,,,Lucia Busso,
,153,Intransitive Motion Construction,N + Vmotion + PPLoc,"La costruzione consiste in un Tema (soggetto) che si muove lungo un percorso verso un punto diverso dello spazio. A differenza della costruzione di moto causato, la causa esterna del movimento non fa parte dell'evento concettualizzato.",,,fully schematic, Luigi Amedeo (...) nel 1883 entrò in Accademia Militare,ItWac,le macchine vanno (...) verso Valle Olona,ItWac,io e Patrizia abbiamo sperato che tali notizie non giungessero a casa,ItWac,Arrivo a Genova in Piazza della Vittoria.,ItWac,"Poi un giorno andai a Venezia, alla Biennale",ItWac,,,,,,,,,,,Lucia Busso,"Busso, L., Lenci, A., & Perek, F. (2020). Valency coercion in Italian: An exploratory study. Constructions and Frames, 12(2), 171-205.
Mosca, M. (2012). Italian motion constructions. Space and Time in Languages and Cultures: Linguistic diversity, 373."
,154,Implict Verba Dicendi Construction,N + V +{di}Vinf,"La costruzione profila eventi di dire, chiedere, narrare, etc. in cui il soggetto è specificato solo nello slot iniziale, e il verbo che segue la particella di è all'infinto.
 ","argument structure construction, implicit construction",verbs of saying,partially filled/schematic,vorrei chiederti di chiarire a quali triangoli ti stai riferendo,ItWac,Il presidente della Rai ha detto di considerare le dimissioni (...) la soluzione migliore,ItWac,l'attore ha raccontato di essere al momento alle prese con il set della fiction ,ItWac,"
Le istruzioni spiegano di entrare uno alla volta 
",ItWac,"Io non parlo di aumentare, parlo di ridistribuire gli orari",ItWac,,,,,,,,,,,Lucia Busso,
,155,Verba Dicendi Explicit Construction,N + V + {che}clause,"La costruzione profila eventi di dire, chiedere, narrare, etc. in cui alla principale segue una subordinata esplicita introdotta da che e seguita da un verbo in forma finita","argument structure construction, explicit construction",verbs of saying,partially filled/schematic,adesso Giorgio gli spiegherà che sono qui per partire insieme a loro,ItWac,E se vi dico che sono simpatica?,ItWac,Porfirio racconta che Plotino non confidò a nessuno la sua data di nascita,ItWac,Mi chiedo che direbbe il vecchio Jonah se ti vedesse in quelle condizioni!,ItWac,Ci raccontano che organizzano già tante attività culturali con bambini e bambine,ItWac,,,,,,,,,,,Lucia Busso,
,156,,PP|NPDAT toccare3.SG VINF,The [State of Affairs] obliges [Experiencer]PP|NP to [Action]V,impersonal construction,"deontic modality, necessity/obligation",partially filled/schematic,Hai chiuso il post da vero professionista della suspance...e adesso quanto mi tocca aspettare per sapere come va a finire?,itTenTen20 ,"Disse che dopo cena avremmo dovuto uscire a cercare la scarpa, tutti e due, perché anch'io avrei dovuto avere più cura di mio fratello. Così ci sarebbe toccato uscire col buio.",CORIS,"La biblioteca è chiusa, tocca stare ancora a casa e allora veniamo noi da voi! ",itTenTen20 ,"E quando Domenico Bartoli si lamenta per quello che gli tocca scrivere sul « Corriere», autocensurandosi insomma, il suo direttore con un gran sospiro alza gli occhi al cielo e fa: «Oh, se avessi io un giornale!».",CORIS,"Se poi tutto andrà come deve, credo che a Davide toccherà portare l'acqua e fare qualche faccenda al posto mio in casa per almeno una settimana.",itTenTen20,,,,,,,,,,,Beatrice Bernasconi,
,157,,bello Adj,VERY Adj,,intensification,partially filled/schematic,"Per fortuna il campo è bello grande, anche il fondo è buono.",la Repubblica ,Ho seguito due corsi di formazione belli tosti ma ne sono orgogliosa.,itTenTen20,Quelle della Honda sono adatte a me: è una moto bella compatta.,la Repubblica , E adesso beva il caffè bello caldo.,CORIS,"Bevemmo una bella bottiglia di Gutturnio dei colli piacentini e, al momento di assaggiare la torta di mele che avevo preparato al pomeriggio, ne aprimmo un'altra, bella frizzantina, sempre dello stesso Gutturnio. ",CORIS,,,,,,,,,,,Beatrice Bernasconi,
,158,Passive Construction,N + Vpass + (PPagent),"La costruzione passiva indica un'azione compiuta da un agente su un paziente, in cui il paziente è il soggetto e l'agente è opzionalmente espresso fa un sintagma preposizionale. E' altamente schematica, tanto che diversi studiosi sostengono che le forme passive (inglesi) siano una famiglia di costruzioni, piuttosto che un unica costruzione (si veda ad esempio Tomasello 2005).",argument structure construction,passive,fully schematic,Nel 1991 è stato nominato direttore,ItWac,Il privilegio più importante fu rappresentato dall' onore di fornire gli uomini per la guardia capitolina,ItWac,Il blindato è stato distrutto dall' esplosione di un ordigno non identificato,ItWac,Il testo delle note qui pubblicato é stato redatto dall' amministrazione competente,ItWac,Gli indici così individuati devono essere forniti dall' ISTAT all' Agenzia delle entrate,ItWac,,,,,,,,,,,Lucia Busso,
,159,Predicative Construction,N + V + N + (NP|AdjP)pred,"consiste in un Soggetto che assegna ad un Tema (oggetto diretto) una caratteristica o una categoria, espressa in un sintagma nominale o aggettivale",argument structure construction,predicative,fully schematic, Le parole di Maresca trovano orecchie attente nei circoli della politica americana,ItWac,Il testo non accenna all' ipotesi che Giuseppe ritenesse Maria innocente,ItWac,parecchi uomini trovano JLO sexy,ItWac,Si considerano molluschi bivalvi (...) gli esemplari inferiori alle seguenti dimensioni:,ItWac,La maggioranza dei tifosi ritiene Ujfalusi superiore a Dainelli.,ItWac,,,,,,,,,,,Lucia Busso,
